SRR1554534,SRR1554535,SRR1554536,SRR1554537,SRR1554538,SRR1554539,SRR1554541,SRR1554556,SRR1554561,SRR1554566,SRR1554567,SRR1554568,geneID
0,0,0,0,0,0,0,0,0,0,0,0,AC002127.2
0,1,0,25,24,0,22,5,1,24,20,25,AC002310.10
1.23726,0,0,0,0,0,0,0,6.31464,4.26416e-08,0,0,AC002310.13
0,2.00262,0,3.00125,7.00561,1.00102,11.0109,4.00204,1,14.0171,14.0095,7.01308,AC002310.17
0,0,0,0,0,1,0,0,0,0,1,0,AC002314.4
1,1,0,2,4,2,2,2,1,1,5,0,AC002365.5
0,0,0,0,0,0,0,0,0,0,0,0,AC002366.3
106.53,49.7922,16.9508,16.9905,40.3885,24.2822,35.8011,0,75.964,139.589,28.6303,41.4811,AC002398.9
1,0,0,8,30,2,18,5,1,1,3,6,AC002400.1
0,0,0,0,1,0,0,2,0,0,1,0,AC002429.4
0,0,0,0,0,0,0,0,0,0,0,0,AC002486.2
0,0,0,1,0,0,1,0,0,0,0,0,AC002486.3
1.00078,0,0,1,0,0,0,0,0,1,0,1,AC002519.6
0,0,0,0,0,0,0,0,0,0,0,0,AC002523.1
0,0,0,0,2,0,3,0,0,4,1,1,AC002542.2
0,0,0,1,3.97594,0,9.32302,2,0,2,10.6216,1,AC002543.2
0,0,0,0,2,0,1,1,0,0,0,0,AC002553.4
1,0,0,3,10,0,6,4,1,8,2,1,AC002984.2
7.85519,4.18971,2.4211,10.6544,20.7583,2.81116,10.1432,9.08133,8.29753,30.087,26.6064,15.68665,AC002985.3
0,0,0,0,1.96153,0,0,0,0,0,1.6865,0,AC003002.4
10.5933,10.8581,2,26.476,39.4427,8.63351,36.22302,21.6631,34.16617,31.7184,28.61917,17.4561,AC003002.6
0,1.19935,0,3.43222,6.72218,0,1.90962,1.95686,0.56751,2.74896,0,1.6085,AC003005.4
2.10751,2.69008,0,6.38958,2.64912,0,0,3.87364,0,5.27347,0,3.85949,AC003006.7
0,0,0,0,0,0,0,0,0,0,0,0,AC003045.1
0,0,0,2,3,0,2,1,0,3,1,4,AC003080.4
