geneID,lowerCI,FoldChange,upperCI,pvalue,fdrBH
PRKCB,0.0188366536079871,0.058099858706369,0.179203464264413,9.01861370709325e-05,0.000243225992040368
PRKCD,0.0314038452789284,0.0526017584397737,0.0881084773657605,7.09989056551354e-09,1.34666355937264e-07
PRKCDBP,0.334692380925309,0.695280809963973,1.44435736292437,0.304417158696863,0.351521873520965
PRKCE,0.16718408162927,0.358911657579075,0.770513416652979,0.0121857258351771,0.0190927442343299
PRKCG,0.00701282901674186,0.0141850729969611,0.0286925997266936,3.41716883063697e-09,8.30677626309313e-08
PRKCH,0.51343129119344,0.771369056552938,1.15888967348348,0.192960057173722,0.234025380320212
PRKCI,1.58115485189472,2.21474689705521,3.10222860976445,0.000173235861918216,0.000429379851176125
PRKCQ,0.0727214388879938,0.135196932730284,0.251345557777386,7.0348078753508e-06,2.80454340630652e-05
PRKCSH,1.08522394320127,1.5091672339178,2.09872418886422,0.0180559553368071,0.0272816327725531
PRKCZ,0.162353914463129,0.245447050356792,0.371067459186709,3.9453119797098e-06,1.73392692101896e-05
PRKD1,1.12018751699266,2.06532019676616,3.80788702825561,0.0234431849367594,0.0344758371805447
PRKD2,1.28660955846329,2.2411849640438,3.90398937270085,0.00754193815669895,0.0123891924302884
PRKD3,3.61864292261528,5.66508007293809,8.86883091786403,8.83190733038665e-07,5.17285071848307e-06
PRKDC,2.02124503700296,3.0236521635937,4.52318854915337,3.90138126828715e-05,0.000117928862599952
PRKG1,1.25044207154125,2.09161345846163,3.49864016829306,0.0082000304557772,0.0133455997801545
PRKG2,3.29692751540357,5.45167246381077,9.01467578944771,4.30983029335131e-06,1.86444069116765e-05
PRKRA,1.06303153601162,1.54107847424377,2.23410386552401,0.0255699095149123,0.0372855544743174
PRKRIP1,1.26158587107515,1.75053769113505,2.42899217432808,0.00253808895213349,0.00465671055443596
PRKRIR,2.57836948248793,3.56969690029204,4.94216831470516,7.77203277749778e-07,4.67259611354927e-06
PRKRIRP7,1.99314168803205,9.31374543979275,43.5221713730295,0.00776143326636626,0.0127090281853423
PRKRIRP8,0.858076086743399,1.84587322385222,3.97079933956193,0.108167948182127,0.138708576868289
PRKRIRP9,2.26789543350817,8.42725871584543,31.3147989164277,0.00365450949214568,0.00644913439790415
PRKX,13.128111174719,26.6504729303164,54.1012867698182,9.89497382922363e-08,9.37748708379672e-07
PRKXP1,0.481837986526855,1.63341747012802,5.53724012287007,0.403236271272274,0.452864574096945
PRKY,0.0903501698135255,1.36647248204182,20.6667795758587,0.808864721058912,0.835600201301214
PRLHR,0.794768668452959,1.79014268611265,4.03213030891174,0.146345992877353,0.182335378305417
PRLR,1.81469883700384,5.53721673599936,16.8957892936406,0.00535824896972925,0.00909690418443671
PRMT1,2.08681823080122,2.73834410551684,3.59328298437368,1.45717522088236e-06,7.75488681774831e-06
PRMT2,2.53034511281252,3.28851139290015,4.27384672805117,1.27493972823698e-07,1.12898929000876e-06
PRMT3,0.6648517034293,0.961497605858626,1.39050203421819,0.822765023019045,0.84771447926497
PRMT5,1.42758614845004,1.85245990890731,2.4037832797934,0.000168624733614405,0.000419108855783102
PRMT6,0.645105813210963,0.910189547198764,1.28420019609864,0.567043453020427,0.61443886200412
PRMT7,0.925458819134834,1.26961259546595,1.74174810292768,0.127699073692735,0.16129841456366
PRMT8,0.0927235014980946,0.153204151322573,0.253134443838407,1.33288836977355e-06,7.22417442711104e-06
PRMT9,0.765946577099213,1.168751367216,1.78338777038798,0.441929858567137,0.491337485293408
PRND,9.59312213099965,25.336387299781,66.9159125296792,4.99279760613955e-06,2.11301696282481e-05
PRNP,0.0446469981959522,0.0698883609647857,0.109400031260937,4.27313060350174e-09,9.48761918648778e-08
PROB1,0.159160466809251,0.272994402701768,0.468244064625746,0.000144028031542806,0.000365158689355276
PROC,0.212095054375835,0.462221621443948,1.00732583302807,0.0519034753578497,0.0709770826983629
PROCA1,3.22582974521943,5.97845783535416,11.0799269992708,2.23958211029644e-05,7.37212900159966e-05
PROCR,1.58707280073902,2.88250448714883,5.2353188300903,0.00192951115915111,0.00364296255474331
PRODH,0.0111314263086435,0.0225763100313342,0.0457883617515528,1.59268220303537e-08,2.41731968887094e-07
PROK2,2.70414922083869,11.250516626123,46.8073741564499,0.00266669306837374,0.0048672778153042
PROKR1,49.7265118592292,319.968100099628,2058.85313997474,1.09766418104073e-05,4.04438188701392e-05
PROKR2,1.50341016393301,7.50986343905826,37.5134146531001,0.017645206957544,0.0267180125606296
PROM1,10.6016415508284,27.6019648793694,71.8632545298997,3.14536754252456e-06,1.44761143439945e-05
PROM2,2.61067265802592,3.9742340224982,6.04998716213062,5.80209982097076e-06,2.3983795112492e-05
PRORSD1P,0.712777096035411,1.41690855024134,2.81663068428237,0.295082141649746,0.341864618740487
PROS1,1.00667555596499,1.48121244801977,2.17944133357404,0.0466685132949409,0.0643827382737034
PROSC,0.42606306891644,0.54360593878243,0.693576698471095,9.91828442750664e-05,0.000263254952847269
PROSER1,2.62800080050877,3.65439789030778,5.08166661825239,7.33610709377464e-07,4.4568154846704e-06
