geneID,lowerCI,FoldChange,upperCI,pvalue,fdrBH
IFI35,0.121726805776101,0.200110556326818,0.32896808963413,6.5718384510465E-6,2.59432179293017E-5
IFI44,4.07240956653191,8.9417392959186,1.96332663328519E1,3.29934153595526E-5,0.00010091507984676
IFI44L,0.290152352491671,0.59657476658337,1.22660198708614,0.146699810457311,0.182201855131184
IFI6,0.0538775028708716,0.0822967533853109,0.125706561308065,4.31076786897812E-9,9.32977045901151E-8
IFIH1,0.183258412669254,0.305736735493129,0.510071816450249,0.000203161654311947,0.000488164778581084
IFIT1,0.0521150745953652,0.0783413545394336,0.117765692148103,2.01440017916974E-9,5.5971927191218E-8
IFIT2,0.0214829609046462,0.052020571049309,0.125966798725167,4.58209393403383E-6,1.93720469242393E-5
IFIT3,0.0379484499109002,0.0793123897766856,0.165763165211185,3.33137004858561E-6,1.48870339755225E-5
IFIT5,1.47795198386382,2.17715701242601,3.20714929071233,0.000712855769170619,0.00147964579019658
IFITM1,0.0744497057996128,0.151547577561712,0.308485681953396,5.39559205576253E-5,0.000153663035975383
IFITM10,0.0122723048874582,0.0202698355194303,0.0334791415103,1.09983317285775E-10,9.10218619434658E-9
IFITM2,0.141198266293061,0.236494581476948,0.396107463188487,3.17769484314599E-5,9.76437761187282E-5
IFITM3,0.0631970516148895,0.106241125114766,0.178602899616794,2.2520813087395E-7,1.72457715925754E-6
IFNA20P,1.8262399592265,4.88809179815801,1.3083407416701E1,0.00382769454350246,0.00667599362976298
IFNAR1,1.40127225234564,1.93057332915392,2.65980673848463,0.000592761013207611,0.00125171110110451
IFNAR2,1.21153974490483,1.74923483003322,2.52556509472309,0.00560919333452978,0.00939245420514544
IFNGR1,0.574255360134412,0.86102984703832,1.29101519804239,0.441693833291771,0.491464853142385
IFNGR2,0.854799401732966,1.14743623620075,1.540256010331,0.333662631984473,0.381943023035946
IFNLR1,0.0358140621141128,0.0820305125328436,0.18788723169577,1.41644520080998E-5,4.94529281823948E-5
IFRD1,2.0594810692402,2.84706304904093,3.93583030515773,6.70098933051953E-6,2.63833992908013E-5
IFRD2,1.0824570962946,1.5882247682888,2.33030752280227,0.0214395080217592,0.0316260505571326
IFT122,0.590007149729448,0.92710672070343,1.45680755219256,0.724995021224063,0.760738094087499
IFT140,2.81384770751337,3.91206546189268,5.43890706567704,3.7456637109757E-7,2.56604422689294E-6
IFT172,1.00053883908057,1.28986460422316,1.66285468613757,0.0495777743735081,0.0676444431794283
IFT20,1.44809495541781,2.01256279942543,2.79706037679173,0.000440373555915356,0.000961214396622058
IFT22,0.930588202727106,1.22565387011131,1.61427729786013,0.13550035290527,0.169630709728325
IFT27,1.14591845069248,1.64846711658458,2.3714111879589,0.0105509111234217,0.0166289922150766
IFT43,1.26312244243455,1.77584188944669,2.4966814857911,0.00279043862291699,0.00501915285938613
IFT46,0.869445083072543,1.19495556043284,1.6423335058302,0.249803761566892,0.2947506964378
IFT52,3.22540942142144,4.60498832631005,6.57464362341522,2.43472913310863E-7,1.83084283764606E-6
IFT57,0.3369399681022,0.488708887232803,0.708839553246116,0.00100934397989789,0.00201756346783957
IFT74,1.48472196802422,2.70382383265009,4.92392749312872,0.00312237226492727,0.00555109028709126
IFT80,0.520473065618548,0.880938212389431,1.49105147857286,0.613699442785799,0.657490619362441
IFT81,5.56962574507395,8.39868220113107,1.26647401359028E1,2.28718198999372E-8,2.9997528702096E-7
IFT88,1.10321364776417,1.79860233476772,2.93231539075687,0.0219567265466664,0.0323013764923162
IGBP1,1.57768974719742,2.11793925550138,2.84318681664884,8.11129418249774E-5,0.000218550593516105
IGDCC3,2.72935914953186E1,4.56303055685929E1,7.6286214902875E1,1.9918480692014E-10,1.33849206208283E-8
IGDCC4,7.53326421882545,1.47586071668664E1,2.89139580371498E1,5.61845198916369E-7,3.54668839266743E-6
IGF1,0.43552363026253,1.38348235981733,4.39476369806153,0.556828392653792,0.603188735192557
IGF1R,4.06349543382827,5.93217281360683,8.66019781824692,7.72211442796148E-8,7.51950550054735E-7
IGF2,1.21804668377776E1,2.34528742972825E1,4.51573260803269E1,5.7799897956239E-8,6.07169654057869E-7
IGF2BP1,9.23911731210533E1,1.13810279296275E3,1.40194990884303E4,3.09764039124592E-5,9.56896691643027E-5
IGF2BP2,5.7281360372879E2,1.54896134706924E3,4.18858986430519E3,2.1819541468236E-10,1.44601648282341E-8
IGF2BP3,1.08660986674638E3,2.34430129555082E3,5.05770169451625E3,3.11493008034645E-12,1.19206651170073E-9
IGF2R,1.57024925091025,2.23901417137188,3.19260426756966,0.000241998229705977,0.000568018346073343
IGFALS,0.276872759724857,0.54927273599928,1.08967216136377,0.0817165882420702,0.106827984128271
IGFBP2,9.10953358321943,1.46011522828321E1,2.34033549620119E1,6.95187775710197E-9,1.28455809184267E-7
IGFBP3,0.611322786643326,0.963399480423284,1.51824629992301,0.86304660053046,0.883784150831431
IGFBP4,0.913976780472527,1.51090533888527,2.49769468092154,0.100125795554301,0.128634810200115
IGFBP5,0.436638547885054,1.78853584845026,7.3261064481961,0.3917157640157,0.441190473193327
IGFBP6,0.0221060726704905,0.0496933980824538,0.111708391164283,1.40011006145814E-6,7.35170463057712E-6
IGFBP7,0.215209451341465,0.353443103341986,0.580467198449405,0.000495146184203021,0.00106534510576455
IGFBPL1,1.90508603271668E2,6.41979638196107E2,2.16335561114103E3,1.62477269820195E-8,2.3566428254761E-7
IGFL2,1.66503508154134,3.55071645899103,7.57196500657444,0.00294215404690442,0.00525830539989631
IGFL4,0.393688885704776,0.628911099530258,1.00467446624582,0.0520269896271829,0.0706637583566174
IGFLR1,0.360636013192153,0.740437670751893,1.52022516946019,0.385686170513387,0.435000079918984
IGFN1,0.00307448199759223,0.0070133600976188,0.0159985389074948,3.32007525018439E-9,7.86680298155063E-8
IGHG1,0.000779724489107137,0.00884451371718164,0.100324440217326,0.000922770481298156,0.00186339624756273
IGHMBP2,0.79265826440169,1.12108555967433,1.58559228933161,0.491345070225966,0.540841303680631
IGIP,0.0314881492977912,0.0507032794330585,0.0816441296995232,1.96594593002568E-9,5.51140654320638E-8
IGKC,0.00279872929978634,0.0286761324319439,0.293819259803783,0.00551625255038558,0.0092497760055157
IGLON5,4.30876433523485,7.01686807639825,1.14270435259006E1,5.74691993565551E-7,3.60538734045052E-6
IGLV1-51,0.161487113093035,0.321768886871177,0.641136091761505,0.00332283104833974,0.00587024760430402
IGLV5-52,0.970347765868604,1.48184141398572,2.26295566748442,0.066231979932731,0.0880834766846831
IGSF1,0.0436204418722708,0.073892188934744,0.125171945794497,4.16228295708402E-8,4.72955546649788E-7
IGSF10,0.244654194430542,0.637338488769574,1.66030404756623,0.330327190257415,0.378608052101606
IGSF11,0.172753386621159,0.314376379150275,0.572101709267056,0.000978866368682785,0.00196430157554038
IGSF21,0.300138037458133,0.575181435685829,1.10227176388384,0.0896669691765886,0.116377659213422
IGSF22,0.518198145737116,0.77236164250771,1.15118610848877,0.186953745389045,0.226628207538021
IGSF3,4.00327071734277E1,6.92557691293275E1,1.19811071904684E2,1.1745587265663E-10,9.44801740693562E-9
IGSF5,1.09503209046955,2.08760951434672,3.97989567823736,0.0282045620903871,0.0405648299018617
IGSF6,2.24563878517717,4.13050272667199,7.59741632877913,0.000193469731526526,0.00046794741480843
IGSF8,0.174976760814656,0.256226896847098,0.375205383630546,2.16110950208068E-6,1.04683117403703E-5
IGSF9,8.70634622752907E2,2.25183113345237E3,5.82419228579713E3,6.02237033136581E-11,6.29584011298705E-9
IGSF9B,0.259490885538128,0.655589890756196,1.65631291430684,0.345374836937437,0.394067747175294
IK,1.27440175048621,1.78922653453196,2.51202698886114,0.00246565108659713,0.00449534720005342
IKBIP,3.52386254021928,6.5237810565445,1.20775764627529E1,1.28336587853855E-5,4.55512375721832E-5
IKBKAP,1.51744775167581,2.11215801157755,2.93994403493923,0.000252646893868689,0.00059000267731251
IKBKB,1.66620402378283,2.30564363770527,3.19048118250351,7.40837011991452E-5,0.000202038268264943
IKBKE,0.492873287076754,0.797670258459149,1.29095623137555,0.331245816098857,0.379563956600185
IKBKG,0.362605900353217,0.492809477457412,0.669766214050225,0.000210500159303151,0.000504088580877864
IKBKGP1,0.274531041638364,0.497570263586317,0.901814839326931,0.0245894914365514,0.0358046303647626
IKZF1,0.619986384167706,1.1496255092931,2.13172231740484,0.635881443008234,0.678540790439737
IKZF2,2.79233478972817,6.2505082490287,1.39914646033469E1,0.000239485441109606,0.000563193673697006
IKZF3,1.88852549195709,2.86845651629955,4.35686085305345,9.01434791111501E-5,0.000239927948703791
IKZF4,2.93379336201905,4.12126713399593,5.78937937812565,3.45978895788647E-7,2.40602842955035E-6
IKZF5,0.920922948788223,1.52552587273506,2.52706178236333,0.0943729414094379,0.12198251673281
IL10RA,0.443861429195537,0.732567344012719,1.20905958079415,0.204278271036745,0.245489667712075
IL10RB,1.10949673248552,1.69150616807721,2.5788206786635,0.0181510546560271,0.0271909679083609
IL11,0.86678102419857,1.48611986650649,2.5479933177671,0.137455531228228,0.171826596620697
IL11RA,0.910617007331434,1.57321113812616,2.71793000262228,0.0972738334315367,0.125298809636631
IL12A,0.276896586875059,0.654421361969726,1.54666882620534,0.308524476473705,0.356121085749564
IL12B,2.16483348645908,5.03838142508627,1.1726207832352E1,0.0010576425465572,0.00210286154369783
IL12RB1,0.272955764702107,0.447156525094355,0.732532460535042,0.00353102803637514,0.0062087127625091
IL12RB2,0.0436898170483699,0.131063821178141,0.393174574359008,0.00138866932607991,0.00268659748204936
IL13RA1,0.170284414308857,0.303300203998337,0.540219808834542,0.000559667871729949,0.00118919480750577
IL13RA2,0.595639799707922,1.4883878725938,3.71919146499376,0.367710460760362,0.416848492257687
IL15,1.1709446323079,2.07298321829256,3.66990829861256,0.0160037556812526,0.0242557344511771
IL15RA,0.0220385491336325,0.042942828535699,0.0836754956719103,7.45561978132948E-8,7.35801595800954E-7
IL16,1.01381356483029,1.56416780956299,2.41328486947464,0.0440356303084665,0.0607734572782132
IL17D,0.0696069416323801,0.0959734471203708,0.132327356096362,2.55997743994351E-10,1.54650219621099E-8
IL17RA,0.187153670197447,0.272005332798208,0.395327011180747,2.87983292064957E-6,1.32385247917742E-5
IL17RB,0.296899465704312,0.43293573787719,0.631302426518797,0.00029911953906989,0.000684366586328994
IL17RC,0.222439490632027,0.37783964935152,0.641805104913884,0.00146542266552268,0.00282049060982708
IL17RD,3.73844894408516E1,5.71909775196807E1,8.74910413002048E1,6.95642706009686E-12,1.66416285749677E-9
IL17RE,0.456084999243563,0.747116582343587,1.22385780838776,0.226055785834957,0.269226213704002
IL17REL,0.00751969417526802,0.0311417660918939,0.128969286877636,0.000123144582924445,0.000314379639560386
IL18,0.245419643932844,0.584059761338252,1.38996943907164,0.204886827578353,0.246122084923058
IL18BP,2.82738133001767,4.43818304410548,6.96668274769368,5.2016437521647E-6,2.14942174577013E-5
IL18R1,0.0374639035268683,0.156826497245705,0.656486589036786,0.0148542833789475,0.0226763849557624
IL1R1,0.115947669845653,0.203253411008443,0.356298226101143,2.71065180869906E-5,8.54886882609923E-5
IL1RAP,0.276416291089466,0.599082552681671,1.29840359087744,0.177452222026892,0.216176518713098
IL1RAPL1,0.429541428834604,0.765714168771705,1.36498635265169,0.33904765175901,0.387489201086703
IL1RAPL2,0.722954748864136,2.46915005159943,8.4330339995584,0.136929761041256,0.171217072451197
IL1RL1,1.89781483697088,3.88177403192533,7.93974698763568,0.00114545736197342,0.0022569510200447
IL1RL2,0.030346839036186,0.0568972242800712,0.106676485380126,1.1415837355678E-7,1.01548316229834E-6
IL20RA,0.000978158387850853,0.00338823025896777,0.0117364472158831,1.08897660908083E-7,9.80874881587529E-7
IL20RB,4.61776986313527,1.02295061734272E1,2.26608946858902E1,1.98609462082373E-5,6.55426222666539E-5
IL21R,0.909027639144741,1.48462676328146,2.42469704037309,0.106090515656154,0.13565251082545
IL27RA,1.47648256898888,2.26014783566301,3.45975519545103,0.00105362591986415,0.00209510764204839
IL2RA,2.1887008268847,6.71381350331103,2.05945422981356E1,0.0026373704025475,0.00477494447653957
IL2RB,0.279042800198346,0.750429119184046,2.0181271923843,0.54390549245785,0.59093813404861
IL2RG,1.03943523931377,2.01969654799354,3.9244139429697,0.0395443175165809,0.055128527185897
IL32,0.292384949169985,0.604913155046534,1.25150055154042,0.160389168774069,0.19749519361364
